artist,title,album,year,lyrics
Brandi Carlile,I Will,Give Up The Ghost,2009,"It's not the end of the world, it's not even over
But it will be soon. I never learned my lessons
I just changed my tune and no one seems to notice
But you will, you will
It's no big deal
But the last thing I think of when I close my eyes
And the first thing on my mind when I arise:
It is a day and you're not really in my life
You can try and you won't find it where you're looking
You can hold it till it's putty in your hands
And you can't break a heart that wasn't even yours to break
You can never be there for me in the end
And I will do the right thing. I will, I will, I will
I will, I will, I will
You're not fooling me
I'm not the sort of girl who can't see reason
But it's nothing that a little bit of time won't heal
I know it don't come easy but I love you, I do
Coming clean
Means never closing curtains, I just changed my scene
Oh but you know what I mean, and I will learn throughout my life
To never lean on what will bend
I can try and I won't find it where I'm looking
I can hold it till it's putty in my hands
You can't break a heart that wasn't even yours to break
You could never be there for me in the end
But I will do the right thing. I will, I will, I will
I will, I will, I will
I don't think you ever learned a thing from me
But I'm sure that you want me to learn from you
And you've drawn heavy-handed lines around morality
About yourself, and I don't share your point of view
It's been time to let you go a thousand times, you'd never know
That it hurts to be the one that you'd regret
I have to say that I'm proud to know you
And I'll never be the same because we met
You might not miss this. And I will, I will, I will
I will, I will, I will
I will, I will, I will
I will, I will, I will"
Brandi Carlile,My Song,The Story,2007,"Everything I do
Surrounds these pieces of my life
That often change
Or maybe I've changed
Sometimes seeming happy
Can be self-destructive
Even when you're sane
Or only insane
But don't bother waking me today
Here I am
I'm so young
I know I've been bitter
I've been jaded
I'm alone
Everyday, I bite my tongue
If you only knew
My mind was full of razors
To cut you like a
Word if only sung
But this is my song
It is my song
Now I live everyday
Like there'll never be a last one
Till they're gone
And they're gone
I'm not too proud to beg for
Your attention and your friendship
And your time
So you can come and get it from now on
Here I am
I'm so young
I know I've been bitter
I've been jaded
I'm alone
Everyday, I bite my tongue
If you only knew
My mind was full of razors
To cut you like a
Word if only sung
This is my song
It's my song
And it's you
It is you
Here I am
I'm so young
I know I've been bitter
I've been jaded
I'm alone
Everyday, I bite my tongue
If you only knew
My mind was full of razors
I'm not sure I can take it
I've nothing strong to hold to
I'm way too old to hate you
My mind is full of razors
To cut you like a
Word if only sung
But this is my song"
Brandi Carlile,The Heartache Can Wait,The Hotel Café Presents: Winter Songs,2008,"You're talking about leaving, it's right about Christmas time
Thinking about moving on, I think I might die inside
I'm thinking about years gone by
I'm thinking about church at midnight
I'm thinking about letting go
I think that might finally be alright
But this is where we shine

Silver bells and open fire and songs we used to sing
One more chance to be inspired is what I'm offering
If love is not enough
Then stay with me because the heartache can wait

It's not about hanging on, it's making my deal with God
If I could call one last truce, we've given it all we've got
Then I'm gonna catch my breath and make it a long December
If we've got nothing left, this could be worth remembering
With a smile upon my face

Silver bells and open fire and songs we used to sing
One more chance to be inspired is what I'm offering
If love is not enough
Then stay with me because
Silver bells and open fire and songs we used to sing
One more chance to be inspired is what I'm offering
If love is not enough
Then stay with me because the heartache can wait"
Brandi Carlile,Pride and Joy,Give Up The Ghost,2009,"Time of day I can't recall
The kind of thing that takes its toll
Over years and over time
Over smiles and over wine
All in all it wasn't bad
All in all it wasn't good
But I still care
That's the problem with the days
They're never long enough to say
What it is you never said
All the books you never read
I throw myself into the wind
Hoping somebody might pick me up
And carry me again
Where are you now?
Do you let me down?
Do you make me grieve for you?
Do I make you proud?
Do you get me now?
Am I your pride and joy?
I believe this to be true
There’s nothing sacred, nothing new
No one tells you when its time
There are no warnings, only signs
Then you know that you're alone
You're not a child anymore
But you're still scared
All your mountains turn to rocks
All your oceans turn to drops
They are nothing like you thought;
You can't be something you are not
Life is not a looking glass
Don't get tangled in your past
Like I am learning not to
Where are you now?
Do you let me down?
Do you make me grieve for you?
Do I make you proud?
Do you get me now?
Am I your pride and joy?"
Brandi Carlile,If There Was No You,Give Up The Ghost,2009,"When I see myself I'm seeing you too
As long as I remember and I'm feeling like I knew
That my jokes aren't funny the truth isn't true
If there was no you
If you were my boat in the deep blue sea
I probably sink you down
I know I should have thanked you for carrying me
But for you I would happily drown
Out on your way the darkest night the longest day
I know what to say to make you laugh
And nothing you could do
Could make me turn my back on you
When you're looking for a fight I'm your man
When you need a friend you got my hand
And what I really mean what I'm trying hard to say
Is that I'm counting on you and you got me too
Our secrets aren't safe I'm singing out of tune
If there was no you, if there was no you
Out on your way darkest night the longest day
I know what to say to make you laugh
And nothing you could do
Could make me turn my back on you
When you're looking for a fight I'm your man
When you need a friend you got my hand
When you need a friend you got my hand
You got my hand"
Brandi Carlile,Cannonball,The Story,2007,"I was born when I met you
Now I'm dying to forget you
And that is what I know
Though I dreamed I would fall
Like a wounded cannonball
Sinking down with my heart in tow
Bright lights like white lightning
Who shot me down
Who will cut me down
I'm frozen in my bed till the day comes around
How I'm lost
How I'm found
There's a man all alone
Telling me his friends are gone
That they've died and flown away
So I told him he was wrong
That your friends are never gone
If you look to the sky and pray
Bright lights like white lightning
Who shot me down
Who will cut me down
I'm frozen in my bed till the day comes around
How I'm lost
How I'm found
Someone told me a lie
Someone looked me in the eye
And said time will ease your pain
But behold, when you fall
It's that same old cannonball
Coming back for your heart again
Bright lights like white lightning
Who shot me down
Who will cut me down
I'm frozen in my bed till the day comes around
And it may come around
Until the day comes around
How I'm lost
How I'm found
I was born when I met you
Now I'm dying to forget you
And that is what I know"
Brandi Carlile,Hard Way Home,Bear Creek,2012,"I sometimes lose my faith in luck
I don't know what I want to be when I grow up
I just count the rain
Wearing the floor through the boards again
I wish I could find a soul to steal
I could be the engine, you could be the wheel
We could drive it home, and never have to worry about being alone
Oooh, I follow my tracks
See all the times I should have turned back
Oooh, I wept alone
I know what it means to be on my own
Oooh, the things I have known
Looks like I'm taking the hard way home
Oooh, the seeds I've sown
Taking the hard way home
Taking the hard way home
I never did learn how to follow the rules
I never was good at sleeping while the moon was full
I just lie and burn
Wreck my mind while the planet turns
Sometimes wish I could start again
I'd try and do the right thing every now and then
I'd step in line
That's what I would do if I could turn back time
Oooh, I follow my tracks
See all the times I should have turned back
Oooh, I wept alone
I know what it means to be on my own
Oooh, the things I've known
Looks like I'm taking the hard way home
Oooh, the seeds I've sown
Taking the hard way home
Taking the hard way home
I tell you how I want to live
Forget about the take
Forget about the give
I want to leave this town
Fake my death and never be found
Oooh, I follow my tracks
See all the times I should have turned back
Oooh, I wept alone
I know what it means to be on my own
Oooh, the things I've known
Looks like I'm taking the hard way home
Oooh, the seeds I've sown
Taking the hard way home
Taking the hard way home
Sometimes lose my faith in luck
I don't know what I want to be when I grow up
I just count the rain
Wearing the floor through the boards again
I wish I could find a soul to steal
I could be the engine, you could be the wheel
When we're driving home, I never have to worry about being alone
Oooh, the things I have known
Looks like I'm taking the hard way home
Oooh, the seeds I've sown
Taking the hard way home
Taking the hard way home
Taking the hard way home"
Brandi Carlile,The Stranger At My Door,The Firewatcher’s Daughter,2015,"I've seen the firewatcher's daughter
Watching fires burn from smoke to black
There's nothing she won't burn, from styrofoam to urns
To someone else's ashes in a sack
You can scorch the metal, you can even melt the glass
You can pass the time here, fire lives into the past
An all-consuming flame that refines and new begins
It'll take your family heirlooms, but it can take your darkest sins

It's a good ol' bedtime story, give you nightmares 'til you die
And the ones who love to tell 'em hide the mischief in their eyes
Condemn their sons to Hades and Gehenna is full of guys, alive and well
But there ain't no hell for a firewatcher's daughter
We exorcize the demons of the things we used to know
The gnashing of the teeth become the remnants of our homes
We think we're moving on, from materials we long
To forget we ever sold our souls to own
There's a chilling absolution that we're given at our birth
A powerful delusion and a plague upon the earth
But nothing scares me more than the stranger at my door
Who I fail to give shelter, time, and worth

Yeah, the good ol' bedtime stories give you nightmares 'til you die
And the ones who love to tell 'em hide the mischief in their eyes
Condemn their sons to Hades and Gehenna is full of guys, alive and well
But there ain't no hell for a firewatcher's daughter"
Brandi Carlile,Mainstream Kid,The Firewatcher’s Daughter,2015,"I'm gonna fit in
I'm on the list, I'm gonna get in
Haven't you heard and don't you know who I am?
I'm with the Joneses, I'm their best friend
I've come to saturate the market
To perpetuate the hip kid
I was born so I could fall into line (Ooh)
I am a legend in my own mind
Can I blend in with a-your kind?

I need you to liberate me
You, the masses, educate me
Hold my fist into the air
Declare a social victory
You can own me, you control me
Individuality
Has never stood a chance against you
Jump into the mainstream

Your revolution
It's in the way of my confusion
I need someone to tell me who I am (Ooh)
Because I'm under this illusion
I came to separate the classes
To place the fails above the passes
And there has never been a better time (Ooh)
To set the bar beneath the masses
Can I blend in with your kind?

I need you to liberate me
You, the masses, educate me
Hold my fist into the air
Declare a social victory
You can own me, you control me
Individuality
Has never stood a chance against you
Jump into the mainstream

Woo!
Uh

I need you to liberate me
You, the masses, educate me
Hold my fist into the air
Declare a social victory
You can own me, you control me
Individuality
Has never stood a chance against you
Jump into the mainstream
Yeah, oh ah ay
Oh

Your revolution into the mainstream kid (Ooh)
Your revolution into the mainstream (Ooh)
Your revolution into the mainstream kid (Ooh)
Your revolution into the mainstream kid (Ooh)
Jump into the mainstream kid"
Brandi Carlile,Caroline,Give Up The Ghost,2009,"I woke up long after dawn
20 years had come and gone
I know when it changed for me
A day in June you came to me
I've seen through someone else's eyes
With nothin' on the other side
Every motel, every town
Pieces scattered all around
Promises that I can't be
Someone's heart that I can't keep
Days so long I couldn't speak
Roads so rocky I can't sleep
But I've seen things so beautiful
All around this broken world
That pale in comparison to you
Caroline I'm on my way back home to you
Can't imagine what I'm goin' through
Without you by my side
It's been a long long time
Oh won't you say a prayer for me
I hope you will remember me
You're always on my mind

I have seen the canyon lands
Crooked lines like in your hands
You'd swear the earth was split in two
I wouldn't lie I promise you
That I have seen it, you will too
You could not believe if not for
Photographs I took for you, Caroline
They've built towers to the sky
It hurts sometimes to watch them try
They run themselves into the ground
But I know you will love them
And their city lights and city sounds
There's beauty in the struggle
Anytime I feel it get me down
I see you smiling
Caroline, I'm on my way back home to you
Can't imagine what I'm goin' through
Without you by my side
It's been a long long time
Oh won't you say a prayer for me
I hope you will remember me
You're always on my mind
My Caroline
Now I have seen things in the sky
Stars and lights and birds and I
I've been rocky mountain high
And told them all about you
Because you are still the only thing
That constantly amazes me
I love the road and I've been blessed
But I love you best
Caroline, I'm on my way back home to you
Can't imagine what I'm goin' through
Without you by my side
It's been a long long time
Oh won't you say a prayer for me
I hope you will remember me
You're always on my mind
You were always on my mind
My Caroline"
Brandi Carlile,Until I Die,The Story,2007,"Hey there
What's that in your sky
With all the pretty lights
You think I can get that high?
So hey you man
Where's your motivation?
And why the celebration
You've gotten nothing done here

You wanna live until
You die alone and will
And I can fly alone at will
I'm not so far below
I'll live beneath your sky
With tainted eyes
I've made my mind
To live until I die

Run, run, run
Catch me if you can, can, can
Come and hold my hand and
I'll be your biggest fan
Hey followers
Living in your hollow words
I have seen your nine to fives
Wash away your dreams

You wanna live until
You die alone and will
And I can fly alone at will
I'm not so far below
I'll live beneath your sky
With tainted eyes
I've made my mind
Hey I'm just fine with all my time
To live until I die"
Brandi Carlile,Shadow on the Wall,The Story,2007,"Gone
It's hard for me to see when I'm wrong
It's hard for me to weep when I'm strong
But I could never sleep when you're gone
Oh but still
If you were gonna crucify me
I wouldn't want nobody to see
Cause you could kick me hard when I'm down
Down, down, down
I don't want wanna be
Nobody's fool
I've played that part so many times before
How I long to be
A shadow on the wall
I will make no sound at all
And when the sun goes down
The shadow on the wall
It cannot be seen at all
At all
Over it
Hey it's not that you would mess with my head
I believe that you believe what you said
You think you know me best and you care
But that's not fair!
Cause I don't really want to be safe
It must have been the way I was raised
Sleep with one eye open I say
Hey hey hey
I don't wanna be
Nobody's fool
I've played that part so many times before
How I long to be
A shadow on the wall
I will make no sound at all
And when the sun goes down
The shadow on the wall
It cannot be seen at all
At all
Oh
How long to be
A shadow on the wall
I would make no sound at all
At all"
Brandi Carlile,Have You Ever,The Story,2007,"Have you ever wandered lonely through the wood?
And everything it feels just as it should
You're part of the life there, part of something good
If you've ever wandered lonely through the woods
Ooooh
If you've ever wandered lonely through the woods
Have you ever stared into a starry sky?
Lyin on your back you're askin' why?
What's the purpose, I wonder who am I
If you've ever stared into a starry sky
Ooooh, aaaah, aaooaaooh
Have you ever stared into a starry sky
Have you ever been out walking in the snow
Tried to get back where you were before
You always end up not knowing where to go
If you've ever been out walking in the snow
Ooooh, aaaah, aaooaaooh, ooooh, aaooaaooh
If you'd ever been out walking, you would know"
Brandi Carlile,Wasted,The Story,2007,"If you had eyes like golden crowns
And diamonds in your fingertips
You'd waste it
If shining wisdom passed your lips
And traveled to the ears of God
You'd waste it
And so I hate that you're overrated
Most revered and celebrated
Bcause you'll waste it
Then again
It's good to get a call
Now and then
Just to say hello
Have I said
I hate to see you go
I hate to see you go
But every time you close a door
And nothing opens in its place
You've wasted
And when you speak the words you know
To those who know the words themselves
You're wasted
You're such a classic waste of cool
So afraid to break the rules
In all the wrong places
But then again
It's good to get a call
Now and then
Just to say hello
Have I said
Oh I hate to see you go
I hate to see you go
But then again
It's good to get a call
Now and then
Just to say hello
Have I said
I hate to see you go
I hate to see you go
Singing doo doo do roo doo doo
Singing doo doo do roo doo doo"
Brandi Carlile,Late Morning Lullaby,The Story,2007,"As soon as my eyes shut the slide show begins
Yesterday is gone now and panic sets in
With a weight upon my chest
And a ghost upon my back
And the numbing sensation of everything
I lack that leaves me
Dreaming, dreaming, dreaming
Your real world away
And beautiful, o beautiful bright eyes, lie
Only beautiful, o beautiful bright eyes cry
Singing late morning lullaby
The first sign of morning is gray and alarming
It's so disappointing the day has come so soon
While the rest of the world greets the day and feels new
I will push it away just like I always do, I will be
Dreaming, dreaming, dreaming
Your real world away
And beautiful, o beautiful bright eyes, lie
Only beautiful, o beautiful bright eyes cry
Singing late morning lullaby
Late morning lullaby
I would darken my window so I can fall asleep
While the critics frown down on the hours
I keep that leave me
Dreaming, dreaming, dreaming
Your real world away"
Brandi Carlile,A Promise to Keep,Bear Creek,2012,"I still talk to you in my sleep
I don't say much 'cause the hurt runs too deep
I gave you the moon and the stars to keep
But you gave them back to me
The hill I'm walkin up is gettin good and steep
But I'm still looking for a promise even I can't keep
I still lay on my side of the bed
I dance alone when the last bottle's spent
Memories like a river runnin' through my head
I'll have me an ocean before I'm dead
The hill I'm walkin up is gettin good and steep
But I'm still looking for a promise even I can't keep
I still whisper sweet words to you
And when I'm busy, or have nothing to do
I pray to god, that my words ring true
And that your words might reach me too
The hill I'm walkin up is gettin good and steep
But I'm still looking for a promise even I can't keep
I can't keep it...
My hearts in pieces so please understand
I'm trying  to jump, but I've nowhere to land
So give me your heart and I'll give you my hand
And I'll try as goddamn hard as I can
The hill I'm walkin up is gettin good and steep
But I'm still looking for a promise even I can't keep"
Brandi Carlile,Looking Out,Give Up The Ghost,2009,"I went out looking for the answers and never left my town
I'm no good at understanding, but I'm good at standing ground
And when I asked a corner preacher I couldn't hear him for my
Youth. Some people get religion some people get the truth. I
Never get the truth, I never get the truth
I know the darkness pulls on you. And it's just a point of view
When you're outside looking in you belong to someone and when
You feel like giving in and the coming of the end, like your
Heart can break in two, someone loves you
I lay this suitcase on my chest so I can feel somebody's weight
And I lay you to rest just to feel a give and take?
I got a new interpretation and it's a better point of view, you
Were looking for a landslide I was looking out for you, I was
Looking out for you, someone's looking out for you
I know the darkness pulls on you. And it's just a point of view
When you're outside looking in you belong to someone and when
You feel like giving in and the coming of the end, like your
Heart can break in two, someone loves you
I am afraid of crossing lines. I am afraid of flying blind
Afraid of inquiring minds. Afraid of being left behind
I close my eyes I think of you, I take a step I think of you
I catch my breath I think of you, I cannot rest I think of you
My one and only wrecking ball, and you're crashing through my
Walls. When you're outside looking in you belong to someone and
When you feel like giving in and the coming of the end, like
Your heart could break in two, someone loves you"
Brandi Carlile,Save Part of Yourself,Bear Creek,2012,"The sun came up and five years gone
Life goes on, yeah, life goes on
I wonder how you're gettin' by
The sun goes down and I feel blue
Now I toss 'cause my mind's on you
And I kind of miss your broken smile
Save part of yourself for me
Won't you save part of yourself for me?
I remember you and me
Lost and young and dumb and free
And unaware of years to come
Just a whisper in the dark
On the pavement in the park
You taught me how to love someone
So save part of yourself for me
Won't you save part of yourself for me?
When we walk into the sun
Or burn below for what we've done
Will you still call out for me?
Turn to light or fade to black
You don't look back, no, you don't look back
At what you might not wanna see
But save part of yourself for me
Won't you save part of yourself for me?
The sun goes down and five years gone
Life goes on, yes, life goes on
I hope you caught up with your dreams
I hope you saved part of yourself for me
Won't you save part of yourself for me?
Save part of yourself for me"
Brandi Carlile,Keep Your Heart Young,Bear Creek,2012,"My grandpa gave me a wheat penny and I kept it in my pocket
Had big plans in my backyard to build me a space rocket
Talked to my brother on a fake CB that I made from a tic-tac box
Packed my snowballs nice and tight and in the middle I put rocks
Don't trade in your tic-tac box for a ball on the end of the chain
And don't go spending grandpa's pennies buying into the game
You gotta keep your heart young
Don't go growin' old before your time has come
You can't take back what you have done
You gotta keep your heart young
Dad took the wheels off of my bike and he pushed me down a hill
But speed got the best of me and I took my first spill
That was back when alcohol was only used on cuts
Stung like hell so I jerked my leg and mama said it would give me guts
Don't trade in your tic-tac box for a ball on the end of the chain
And don't go spending grandpa's pennies buying into the game
You gotta keep your heart young
Don't go growing old before your time has come
You can't take back what you have done
You gotta keep your heart young
So take a picture of the one you love and put it in a locket
Go dig up your time capsule and the blueprints for your rocket
Keep in touch on a fake CB and that same old tic-tac box
Pack your snowballs a little less tight but in the middle: still put rocks
And keep your heart young
Don't go growing old before your time has come
You can't take back what you have done
You gotta keep your heart young
You gotta keep your heart young
Sometimes you don't die quick
Just like you wished you'd done
Though love is a loaded gun
You've gotta keep your heart young
You can't take back what you have done
You gotta keep your heart young"
Brandi Carlile,Dying Day,Give Up The Ghost,2009,"I left home a long long time ago
In a tin can for the road
With a suitcase and some songs
Chasing miles through the night time
Making tracks with no time for looking back
To the place where I belong
How these days grow long
But I'm on my way back home
It's been hard to be away
How I miss you and I just want to kiss you
And I'm gonna love you till my dying day
How these days grow long
When you're sad you know I wish I could be there
To make your sorrows disappear
And set your troubles free
It's not fair for me to be this far from you
But I promise to stay true, wherever I might be
Time keeps burning
The wheels keep on turning
Sometimes I feel I'm wasting my days
How I miss you and I just want to kiss you
And I'm gonna love you till my dying day
How these days grow long
Time keeps burning on
How these days grow long
Now I'm lost in a sea of sunken dreams
While the sound of drunken screams echos in the night
But I know all of this will come to pass
And I'll be with you at last forever by your side
How these days grow long
But I'm on my way back home
It's been hard to be away
How I miss you and I just want to kiss you
And I'm gonna love you till my dying day
Time keeps burning
The wheels keep on turning
Sometimes I feel I'm wasting my days
How I miss you and I just want to kiss you
And I'm gonna love you till my dying day
How these days grow long
Time keeps burning on
How these days grow long"
Brandi Carlile,Oh Dear,Give Up The Ghost,2009,"Oh dear out here
Everybody stumbles on fear
Who cares if we’re scared
Everyone is on their own
It’s only you that my heart desires
Only you alone can know my pain
All alone you were sitting there
Folding pages for your paper chain
Now you can cut me free (now you can cut me free)
Forever say goodbye (forever say goodbye)
Or well be holding hands and go on
Together you and I forever
Heart breaks mistakes
Catching up to me in old ways
I know of hard days
Had my share of lonely nights
Its only you that my heart desires
Only you alone can break my fall
I pace the floor and I wish for more
While you were dreaming with your paper dolls
Now you can cut me free (now you can cut me free)
So when it all unfolds (so when it all unfolds)
We’ll be holding hands and go on
Together you and I forever
Poor dear out here
Everybody stumbles on fear
Who cares if you’re scared
Everyone is on their own
Oh dear"
Brandi Carlile,Hiding My Heart Away,,0,"This is how the story went
I met someone by accident
That blew me away
It blew me away
It was in the darkest of my days
When you took my sorrow and you took my pain
And buried them away
And buried them away
I wish I could lay down beside you
When the day is done
And wake up to your face against the morning sun
But like everything I've ever known
You disappeared one day
So I spend my whole life hiding my heart away
You drive me off at the train station
Put a kiss on top of my head
And watch me wave
And watch me wave
Then you went on home to your skyscrapers
Neon lights and waiting papers
That you call home
I call it home
I wish I could lay down beside you
When the day is done
And wake up to your face against the morning sun
But like everything I've ever known
You disappeared one day
So I spend my whole life hiding my heart away, away
I woke up feeling heavy-hearted
I'm going back to where I started
The morning rain
The morning rein
And although I wished that you were near
That same old road that brought me here
Is calling me home
Is calling me home
I wish I could lay down beside you
When the day is done
And wake up to your face against the morning sun
But like everything I've ever known
You disappeared one day
So I spend my whole life hiding my heart away
And I could spend my whole life hiding my heart away"
Brandi Carlile,Downpour,The Story,2007,"I'm like the rain in a downpour
I wash away what you long for
And I wave goodbye with the sun in my eyes
I wish I could be there tonight
I'm like the wind in the canyon
I'm there then I'm gone in a second
You're growing older in peace where you're at
I wish I could be there for that
But I've moved on
Like a rolling stone
In a crowded room
I'm alone
I'm like the rain in a downpour
I wash away what you long for
And I wave goodbye with the sun in my eyes
I wish I could be there tonight
Oh, oh, yeah
You're like the tide in the deep blue
Cause you're always there when I need you
And when you need someone to carry you through
I'm gonna be there for you
I'm gonna be there for you"
Brandi Carlile,Wilder (We’re Chained),The Firewatcher’s Daughter,2015,"You came into this world with eyes as clear as water
You didn't look a thing like your grandmother's daughter
With a heart so heavy and beating like a drum
Yeah, neither did you look like your grandfather's son

We're chained
And when everything changes our love will stay the same
We're chained
And when everything else goes away, our love will still remain
We're chained

Wilder than a brushfire burns deep inside the bramble
Baby, I think God made your soul born to ramble
Maybe you'll take to the far away places
Where life is gonna deal you a hand full of aces
But it doesn't really matter how great the spaces


Life has a fuse and it burns with quickness
But death ain't the long twisted branch of sickness
Just as the spark gives birth to a flame
We'll be bound by our love and then the family name"
Brandi Carlile,I’ll Still Be There,Bear Creek,2012,"There never was a better love
To see the light of day
If only just to lift you up
And rise above the grey
It breaks my heart, but now you know
That the broken binds are an open door
And if it all disappears
I promise you I’ll still be there
My growing pain, my darkest days
I owe them all to you
For every break I've got you to thank
For always pulling me through
If it breaks your heart, at least you know
That the broken binds are an open door
And if it all disappears
I promise you I’ll still be there
But if the world should let you down
And the sky should fall and never make a sound
And if it all disappear
I promise you I will be there
It breaks my heart, it breaks my heart
It breaks my heart, it breaks my heart
But now you know
That the broken binds are an open door
And if it all disappears
I promise you I will be there
But if the world should let you down
If the sky should fall and never make a sound
Oh if it all disappears
I promise you I will be there
And if it all disappears
You have my word I will be there
And if it all disappears
I promise you I will be there"
Brandi Carlile,Beginning To Feel The Years,The Firewatcher’s Daughter,2015,"You carry me along with you
Keep my spirit strong you do
Maybe I was meant to be
Under your lock and key
The hard times that I had
Really don't seem all that bad
Yesterday is long ago and far away

And I'm beginning to feel the years
But I'm going to be okay
As long as you're beside me--along the way
Gonna make it through the night
And into the morning light

There are things that I've said before
I don't mean them anymore
Yesterday is long ago and far away

And I'm beginning to feel the years
But I'm going to be okay
As long as you're beside me--along the way
Gonna make it through the night
And into the morning light

Oh-oh-oh-oh-oh
Woah-oh-oh, oh
Oo-oo-oo-oo-oo
Oo-oo-oo, oo

With angels by your side
The spirit's there to guide

And I'm beginning to feel the years
But I'm going to be okay
As long as you're beside me along the way
Gonna make it through the night
And into the morning light"
Brandi Carlile,Tragedy,Brandi Carlile,2005,"Sorry, I'm only
Human, you know me
Grown up, oh no guess again
My days always
Dry up and blow away
Sometimes I could do that too
But make no mistake that
When you need a friend
You could count on anyone
But you know I'll defend
The tragedy that we knew as the end
Progress and changing
Growing then giving up
Somehow, I'm never quite prepared
But I understand that
When you need a friend
You could count on anyone
But you know I'll defend
The tragedy that we knew as the end
So taking you with me would be like
Taking all your money to the grave
It does no good to anyone especially
The one you're trying to save
It's so hard not to say
When you need a friend
You could count on anyone
But you know I'll defend
The tragedy that we knew as the end"
Brandi Carlile,Closer To You,Brandi Carlile,2005,"It's hard to let the miles pass me by
Yellow lines they blend together in my eyes
And when the seasons change again then I will too
But I just wanna be closer to you
And I'm staring out at endless rows of green
There are miles of hay like I've never seen
But just when you think you've had enough and your dreams come true
I just wanna be closer to you
Oh my mind wanders through all that I've been hiding from
I tried not to let you down
Now I wonder if I've been doing something wrong
Help me get my feet back on the ground
Tomorrow I'll be lying under you
With a heart of gold and arms to fall into
I know that there might come a day my life is through
But I just wanna be closer to you
Oh my mind wanders through all that I've been hiding from
I tried not to let you down
Now I wonder if I've been doing something wrong
Help me get my feet back on the ground
Someday we might learn to tell the truth
We might even find the fountains of our youth
And we all needed something real we all need proof
But I just wanna be closer to you
I only wanna be closer to you"
Brandi Carlile,Heroes and Songs,The Firewatcher’s Daughter,2015,"Some rights and some wrongs
Some heroes and songs
Are much better left unsolved
Between fiction and fact
Illusion and pact
Where we've been into what we've become
Although we have changed
We're never estranged
And there's nothing I'd trade from before
I love you my friend - my dear means to an end
But you're not in my dreams anymore
I'll never ally
All the voices goodbye
To the magical mystery tour
Keep the tears that I cried
In my youth and my pride
And the sorrow like never before
I've got thank you's and smiles
And affection for miles
And I always will look unto you
You held open the door
For who I'm sent here for
To come in and make my dreams come true
Although it was sad
And it hurt 'cause it had to
There's nothing I'd change from before
I love you my friend - my dear means to an end
But you're not in my dreams anymore
Although it was sad
And it hurt really bad
There's nothing I'd change from before
I love you my friend - my dear means to an end
But you're not in my dreams anymore
You're not in my dreams anymore"
Brandi Carlile,Happy,Brandi Carlile,2005,"I don't hang around that place no more
I'm tired of wearing circles in the floor
And I don't carry myself very well
But I've gotten so much braver, can you tell
I'm happy, can't you see
I'm alright, but I miss you, Amber Lee
And I line my secrets up all one by one
I put 'em all away when I was done
And I would really love to hear your voice sometime
To close a little distance in my mind
I'm happy, can't you see
I'm alright, but I miss you, Amber Lee
I believe
Where have you been all these years
How could you just disappear
And when did you stop missing me
I'm happy, can't you see
I'm alright, but I miss you, Amber Lee
I'm alright, but I miss you, Amber Lee"
Brandi Carlile,100,Bear Creek,2012,"When I'm blowin out the candles
And when people start to sing
I will always cross my fingers tight
I remember everything
But I always make my wishes
For the same thing everytime
If I live to be one hundred
If I ever get it right
My mind is racing with thoughts
And the songs that never end
And I prayed to God last night
Just before I went to bed
Even now I can't remember
A single word He said
If I live to be one hundred
If I get it through my head
I always think about you
And I have to close my eyes
If I live to be one hundred
Will I ever cross your mind
When you close your eyes at night
And you rise above your life
Do you notice there, an empty space
Where I wasn't by your side
Because I always dream about you
Every time I close my eyes
If I live to be one hundred
Will I ever cross your mind
I always make my wishes
For same thing every time
If I live to be one hundred
Will I ever cross your mind"
Brandi Carlile,Fall Apart Again,Brandi Carlile,2005,"Long is the day, take it away
Hold it up and you don't let it fall
Cause devil's play was yesterday
And I don't care about that at all
I just smile, once in a while
Cause I don't want the lines on my face
And I sit right here, holding the years
And I count all the stars in space
You fall apart again, and you can find a friend
Don't turn to someone else, cause they won't understand
Self-respect goes unexpressed
I don't dream cause I cannot sleep
And I think the world of myself
But the world doesn't think much of me
As long as the day is full of time
There will always be room for your hand in mind
You fall apart again, and you can find a friend
Don't turn to someone else, cause they won't understand
I don't wanna hear you say that you miss yesterday
If you don't like what you see, that means nothing to me
No one's home, I'm alone with my music and my defeat
And I still say that yesterday is best when left to sleep
You fall apart again, and you can find a friend
Don't turn to someone else, cause they won't understand
I don't wanna hear you say that you miss yesterday
If you don't like what you see, that means nothing to me"
